title,price,sqft,bedrooms,bathrooms,address,neighbourhood,url,source,url_canon,address_norm,unit,source_rank,variant_id
,2499.0,780.0,2.0,1.0,"19-23 Engelhart Cres,64-68 Harris Park Dr - Scarborough, ON",,,,,19-23 engelhart cres 64-68 harris park dr - scarborough on,19,999,82104b5cee
,2499.0,798.0,2.0,1.0,"4 Treewood Street - Scarborough, ON",,,,,4 treewood street - scarborough on,,999,ef7869780c
,2695.0,600.0,1.0,1.0,"190 Borough Drive - Scarborough, ON",,,,,190 borough drive - scarborough on,,999,881cb5cb7b
,2750.0,999.0,2.5,2.0,"30 Thunder Grove - Scarborough, ON",,,,,30 thunder grove - scarborough on,,999,0b8f4f3919
,2099.0,950.0,1.0,1.0,"15 Brookbanks Drive - Toronto, ON",,,,,15 brookbanks drive - toronto on,,999,4ede5d514b
,3200.0,1100.0,3.0,1.0,"10 Chipping Road - Toronto, ON",,,,,10 chipping road - toronto on,,999,ef615b8f2e
,1945.0,485.0,1.0,1.0,"22 Elkhorn Drive - North York, ON",,,,,22 elkhorn drive - north york on,,999,667159012c
,2700.0,795.0,2.0,1.0,"22 Elkhorn Drive - North York, ON",,,,,22 elkhorn drive - north york on,,999,8bba6182ae
,2200.0,550.0,1.0,1.0,"625 Sheppard Avenue East - North York, ON",,,,,625 sheppard avenue east - north york on,,999,4e7ed7c924
,2850.0,931.0,2.0,1.0,"2911 Bayview Avenue - Toronto, ON",,,,,2911 bayview avenue - toronto on,,999,72ed7e1853
,3150.0,650.0,2.0,2.0,"6 Greenbriar Road - Toronto, ON",,,,,6 greenbriar road - toronto on,,999,9e21a6f288
,3050.0,750.0,2.0,2.0,"15 Holmes Avenue - North York, ON",,,,,15 holmes avenue - north york on,,999,aacfdb71c8
,2480.0,775.0,1.0,1.0,"4500 Jane Street - North York, ON",,,,,4500 jane street - north york on,,999,257d5fa04b
,2175.0,671.0,1.0,1.0,"18 & 20 Skipton Crt - North York, ON",,,,,18 & 20 skipton crt - north york on,,999,24a34042af
,2100.0,723.0,1.0,1.0,"3400 Keele Street - North York, ON",,,,,3400 keele street - north york on,,999,359d5c92ab
,1895.0,576.0,1.0,1.0,"1450 Sheppard Avenue West - Toronto, ON",,,,,1450 sheppard avenue west - toronto on,,999,9282644544
,1950.0,750.0,1.0,1.0,"3250 Keele Street - Toronto, ON",,,,,3250 keele street - toronto on,,999,a296a3f684
,2075.0,598.0,1.0,1.0,"3390 Keele Street - Toronto, ON",,,,,3390 keele street - toronto on,,999,b967691d1f
,2095.0,511.0,1.0,1.0,"299 Campbell Avenue - Toronto, ON",,,,,299 campbell avenue - toronto on,,999,b7e5c73a0c
,2100.0,513.0,1.0,1.0,"75 Canterbury Place - North York, ON",,,,,75 canterbury place - north york on,,999,69f6c5eaf1
