,price,size,address,bedrooms,bathrooms,furnished,apartmentOrCondo
https://rentals.ca/scarborough/4-treewood-street,2499,798,"4 Treewood Street - Scarborough, ON",2,1,0,apartment
https://rentals.ca/scarborough/190-borough-drive-6,2695,600,"190 Borough Drive - Scarborough, ON",1,1,1,condo
https://rentals.ca/scarborough/30-thunder-grove-id1009730,2750,999,"30 Thunder Grove - Scarborough, ON",2.5,2,0,condo
https://rentals.ca/north-york/15-brookbanks-drive-1,2099,950,"15 Brookbanks Drive - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/12-firthway-court,3800,1500,"12 Firthway Court - Toronto, ON",3,1,0,apartment
https://rentals.ca/toronto/10-chipping-road,3200,1100,"10 Chipping Road - Toronto, ON",3,1,0,apartment
https://rentals.ca/north-york/the-richelieu,1945,485,"22 Elkhorn Drive - North York, ON",1,1,0,apartment
https://rentals.ca/north-york/the-richelieu,2700,795,"22 Elkhorn Drive - North York, ON",2,1,0,apartment
https://rentals.ca/north-york/625-sheppard-avenue-east,2200,550,"625 Sheppard Avenue East - North York, ON",1,1,0,condo
https://rentals.ca/toronto/bayview-mews,2850,931,"2911 Bayview Avenue - Toronto, ON",2,1,0,apartment
https://rentals.ca/toronto/819-6-greenbriar-road,3150,650,"6 Greenbriar Road - Toronto, ON",2,2,0,condo
https://rentals.ca/toronto/9-waring-court,5200,2500,"9 Waring Court - Toronto, ON",3,3,0,apartment
https://rentals.ca/toronto/45-brucedale-crescent,4500,2500,"45 Brucedale Crescent - Toronto, ON",3,3,0,apartment
https://rentals.ca/toronto/15-holmes-avenue-id845369,3050,750,"15 Holmes Avenue - North York, ON",2,2,1,condo
https://rentals.ca/north-york/4500-jane-st,2480,775,"4500 Jane Street - North York, ON",1,1,0,apartment
https://rentals.ca/north-york/18-20-skipton-crt,2175,671,"18 & 20 Skipton Crt - North York, ON",1,1,0,apartment
https://rentals.ca/north-york/3400-keele-street,2100,723,"3400 Keele Street - North York, ON",1,1,0,apartment
https://rentals.ca/north-york/1450-sheppard-ave-w,1895,576,"1450 Sheppard Avenue West - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/keele-apartments,1950,750,"3250 Keele Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/north-york/3390-keele-street-1,2075,598,"3390 Keele Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/299-campbell-avenue,2095,511,"299 Campbell Avenue - Toronto, ON",1,1,0,apartment
https://rentals.ca/north-york/diamond-condos-11527,2100,513,"75 Canterbury Place - North York, ON",1,1,0,apartment
https://rentals.ca/north-york/18-sommerset-way-1,2250,620,"18 Sommerset Way - North York, ON",1,1,0,condo
https://rentals.ca/north-york/18-holmes-avenue-id1016315,2450,600,"18 Holmes Avenue - North York, ON",1.5,1,0,condo
https://rentals.ca/toronto/humberwood-ii-700-humberwood-11233,2400,680,"700 Humberwood Blvd - Etobicoke, ON",1,1,0,apartment
https://rentals.ca/north-york/4001-4003-4005-bayview-avenue-the-gates-of-bayview,2782,803,"4001 - 4005 Bayview Avenue - North York, ON",1,1,0,apartment
https://rentals.ca/toronto/bayview-mews,2850,931,"2911 Bayview Avenue - Toronto, ON",2,1,0,apartment
https://rentals.ca/toronto/18-arran-crescent,4200,2500,"18 Arran Crescent - Toronto, ON",4,3,0,apartment
https://rentals.ca/toronto/60-bevdale-road-id1015193,3700,1100,"60 Bevdale Road - Toronto, ON",4,2,0,apartment
https://rentals.ca/north-york/151-beecroft-road-2,2275,490,"151 Beecroft Road - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/4955-yonge-street-id956817,2000,530,"4955 Yonge Street - Toronto, ON",1,1,0,condo
https://rentals.ca/north-york/4750-bathurst-street,1790,338,"4750 Bathurst Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/lillian-park,2195,491,"44 Lillian Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/45-dunfield-avenue,2250,540,"45 Dunfield Avenue - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/the-corner-on-broadway,2518,569,"223 Redpath Avenue - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/365-eglinton-avenue-east,2650,690,"365 Eglinton Avenue East - Toronto, ON",2,1,0,apartment
https://rentals.ca/toronto/725-eglinton-ave-w-117-old-forest-hill-road,2100,650,"725 Eglinton Ave W - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/the-montebello-toronto,3500,1250,"21 Mayfair Avenue - Toronto, ON",3,2,0,apartment
https://rentals.ca/toronto/sloane,2500,514,"5-31 York Garden Way - Toronto, ON",1,1,0,apartment
https://rentals.ca/york/ava-manor,2440,590,"1862 Bathurst St. - Toronto, ON",1,1,0,apartment
https://rentals.ca/north-york/830-lawrence-avenue-west-id1015415,2500,714,"830 Lawrence Avenue West - North York, ON",2,1,0,condo
https://rentals.ca/toronto/146-sixth-street-id1009253,2195,800,"146 Sixth Street - Toronto, ON",2,1,0,apartment
https://rentals.ca/toronto/2-wesley-street,2420,900,"2 Wesley Street - Toronto, ON",2,1,0,apartment
https://rentals.ca/etobicoke/162-berry-road,2275,900,"162 Berry Road - Etobicoke, ON",2,1,0,apartment
https://rentals.ca/etobicoke/montgomery-mills-24-mabelle-ave,1900,576,"24 Mabelle Avenue - Etobicoke, ON",1,1,0,apartment
https://rentals.ca/etobicoke/lions-gate,3200,1417,"59 Waterford Drive - Etobicoke, ON",3,1.5,0,apartment
https://rentals.ca/north-york/1154-wilson-avenue,2597,943,"1154 Wilson Avenue - North York, ON",2,1,0,apartment
https://rentals.ca/toronto/104-rajah-street,2200,933,"104 Rajah Street - Toronto, ON",2,1,0,apartment
