model,MAE,RMSE,R2
RandomForest,0.31684506204001406,0.4044404016600365,0.5072826540350057
GradientBoosting,0.3220345620899205,0.4299314011227085,0.44321552418892096
Linear,0.34943860492996365,0.43910480458362,0.4192019308940119
Log-Linear,0.3733926421463931,0.4727805510442575,0.32670096704485196
